Song Name,Original Artist,Times Played,Debut,Last Seen,Current Gap
Easy To Slip,Little Feat,1,2013-08-30,2013-08-30,96
Oh! Sweet Nuthin',The Velvet Underground,6,1998-10-31,2013-08-30,96
Say Something,Phish,2,2013-07-27,2013-08-30,96
The Oh Kee Pa Ceremony,Phish,212,1989-08-12,2013-08-30,96
Energy,The Apples in Stereo,4,2013-07-05,2013-08-04,98
Alumni Blues,Phish,190,1985-02-01,2013-08-03,99
Driver,Phish,31,1998-10-17,2013-08-03,99
Letter to Jimmy Page,Phish,88,1985-02-01,2013-08-03,99
Babylon Baby,Mike Gordon,3,2011-08-15,2013-08-02,100
Architect,Trey Anastasio,4,2013-07-06,2013-07-31,101
Secret Smile,Trey Anastasio,8,2003-07-08,2013-07-26,104
Dinner and a Movie,Phish,147,1987-11-19,2013-07-21,106
Frost,Trey Anastasio,1,2013-07-17,2013-07-17,109
Heartbreaker,Led Zeppelin,2,2010-10-30,2013-07-16,110
Fly Like an Eagle,Steve Miller Band,1,2012-12-31,2012-12-31,120
Garden Party,Ricky Nelson,1,2012-12-31,2012-12-31,120
Iron Man,Black Sabbath,2,2003-12-31,2012-12-31,120
Kung,Phish,35,1989-10-31,2012-12-31,120
Emotional Rescue,The Rolling Stones,5,1997-11-21,2012-08-31,126
Uncle Pen,Bill Monroe,207,1990-03-28,2012-08-31,126
Peaches en Regalia,Frank Zappa,82,1986-10-15,2012-08-28,128
The Curtain,Phish,119,1988-02-24,2012-08-28,128
Corinna,Taj Mahal,26,1987-02-21,2012-08-17,135
Cool It Down,The Velvet Underground,7,1998-10-31,2012-08-15,136
La Grange,ZZ Top,81,1987-08-09,2012-07-08,137
Steep,Phish,29,1996-10-16,2012-07-08,137
Swept Away,Phish,29,1996-10-16,2012-07-08,137
Blister in the Sun,Violent Femmes,4,1997-07-26,2012-07-07,138
Sabotage,Beastie Boys,5,1998-08-08,2012-07-07,138
Torn and Frayed,The Rolling Stones,7,2009-10-31,2012-07-07,138
Cracklin' Rosie,Neil Diamond,50,1992-01-14,2012-07-06,139
Light Up Or Leave Me Alone,Traffic,19,1986-12-06,2012-07-06,139
Psycho Killer,Talking Heads,4,1993-03-30,2012-07-06,139
